censustract,totalbuildinginsurancecoverage,policycount
48157673004,160000,2
48201000000,6700000,32
48201100000,639093000,2298
48201100001,269246000,760
48201210100,121647600,542
48201210400,366472200,1670
48201210500,512817000,2626
48201210600,1083988400,5398
48201210700,293226400,1690
48201210800,317017600,1502
48201210900,413104400,3904
48201211000,523259600,4536
48201211100,158807000,1422
48201211101,61800400,414
48201211102,39414000,244
48201211200,683959800,5884
48201211300,147518000,906
48201211301,85962000,460
48201211302,112622000,600
48201211400,800289400,3606
48201211500,166549600,1014
48201211501,104273600,392
48201211502,62812000,280
48201211600,200925400,1206
48201211700,1714586600,11636
48201211900,261897000,1800
48201212300,366439400,1774
48201212400,998578600,4758
48201212500,1650846800,9486
48201220100,272083200,1700
48201220200,247140800,1476
48201220300,265494600,1580
48201220400,200077400,1134
48201220500,646951200,3042
48201220600,314881400,1940
48201220700,227947600,1442
48201220701,62966000,322
48201220702,86030200,614
48201220800,204403600,1494
48201220900,112323400,872
48201221000,737688600,4616
48201221100,248546000,1434
48201221200,751554400,5062
48201221300,631728000,4488
48201221301,285135000,1636
48201221302,116906000,650
48201221400,745449800,4720
48201221500,342620800,2274
48201221501,256553800,1428
48201221502,51338800,268
48201221600,1671933600,12482
48201221601,714752600,5358
48201221602,549955000,3162
48201221700,992260800,9088
48201221701,640740400,4892
48201221702,366498200,2862
48201221800,301117600,2000
48201221900,694631000,6062
48201222000,921066800,8678
48201222100,965453200,8918
48201222200,567622200,3226
48201222300,753892800,4372
48201222401,1107509800,7364
48201222402,1320108400,9892
48201222500,143000,2
48201222501,159828000,888
48201222502,1073113600,5430
48201222503,284398600,1796
48201222504,3850000,38
48201222505,199611600,1098
48201222600,162449200,412
48201222601,59000000,158
48201222602,66000000,132
48201222700,637801200,2602
48201222701,26136000,142
48201222702,446117400,1400
48201222800,1286756400,5874
48201222900,3824565800,23368
48201223001,756870600,4318
48201223002,805812400,4324
48201223100,828097800,3630
48201230100,398221600,2164
48201230200,1382434000,8968
48201230300,228039200,1492
48201230400,360182400,2752
48201230500,422442000,2716
48201230600,262075000,1678
48201230700,361001000,2166
48201230800,529681800,3892
48201230900,561365600,3528
48201231000,1110861600,7268
48201231100,1756291400,11652
48201231200,1233964200,8390
48201231300,976575200,5570
48201231400,1117760000,6326
48201231500,516019400,3584
48201231600,731970000,4686
48201231700,527268600,3040
48201231800,535306400,2970
48201231900,1877056000,13464
48201232000,927317200,5292
48201232100,291500400,2210
48201232200,3719921400,16742
48201232201,227259200,1292
48201232202,1548596000,6318
48201232203,1065948000,4292
48201232301,1116724000,7512
48201232302,1715381800,10408
48201232303,945814200,4852
48201232304,310271200,1620
48201232305,859714000,4252
48201232306,1033942000,5736
48201232401,1630524000,8894
48201232402,752060400,3942
48201232403,862734200,4760
48201232404,484203200,2484
48201232405,1565167000,6644
48201232500,917006000,4600
48201232600,2470624800,13154
48201232701,1487648600,9080
48201232702,788219200,3736
48201232703,215297600,1008
48201232704,424383600,2000
48201232800,521524200,2708
48201232801,149842000,742
48201232802,376330600,1650
48201232900,1186831800,5808
48201232901,819379600,3418
48201232902,296658000,1530
48201233001,850014600,4210
48201233002,1689442000,8270
48201233003,1313563000,6694
48201233101,590812800,2992
48201233102,249888400,1696
48201233103,209984000,1192
48201233104,39138800,228
48201233105,131490400,568
48201233200,1591370000,9732
48201233300,940849200,4522
48201233400,388768000,2084
48201233500,498055800,3512
48201233501,240972000,1302
48201233502,180000000,1116
48201233600,182114800,1310
48201233701,811918200,4762
48201233702,293033200,1450
48201233703,555121000,3076
48201240100,1245213800,4634
48201240101,527000000,1242
48201240102,433124200,1368
48201240400,2939143800,16654
48201240500,200000,4
48201240501,386035200,1582
48201240502,543693800,4624
48201240503,93509600,356
48201240504,245890800,1204
48201240505,108100000,258
48201240506,109384000,348
48201240600,356103600,1516
48201240701,654571400,3878
48201240702,472680000,2876
48201240703,260978000,1312
48201240704,194996000,966
48201240705,150412000,728
48201240706,155964000,762
48201240707,138408000,714
48201240801,588945800,2568
48201240802,2168355200,11538
48201240803,383287800,1654
48201240901,723152800,4120
48201240902,1593183200,8782
48201240903,407556000,1968
48201240904,1111209400,5332
48201240905,184064000,932
48201240906,510282000,2474
48201241000,1219381000,6668
48201241001,788065400,3684
